"Transaction ID","User ID","Product ID","Rating","Review","Timestamp"
"TRANS001","USER001","PROD001","4","I recently purchased this 4K UHD Smart TV and I'm really impressed with the picture quality. The colors are vibrant and the sound is great. I've been using it for a few weeks now and I have no complaints. Highly recommend!", "2020-01-01 10:00:00" 
"TRANS002","USER001","PROD006","5","I just got my AirPods Pro and I'm loving them! The sound quality is amazing and they're so comfortable to wear. I've been using them for music, podcasts, and phone calls and they've been performing flawlessly. Definitely worth the investment!", "2020-01-05 12:00:00"
"TRANS003","USER001","PROD012","4","I bought this VivoBook Laptop for work and it's been a great purchase. The battery life is long-lasting and the performance is fast. I've been using it for a few weeks now and I have no complaints. Highly recommend!", "2020-01-10 14:00:00"
"TRANS004","USER001","PROD002","4","I recently purchased this Wireless Soundbar and I'm really impressed with the sound quality. It's easy to set up and the design is sleek. I've been using it for a few weeks now and I have no complaints. Highly recommend!", "2020-01-15 10:00:00" 
"TRANS005","USER001","PROD008","5","I just got my Envy x360 Laptop and I'm loving it! The performance is fast and the battery life is long-lasting. I've been using it for work and personal projects and it's been performing flawlessly. Definitely worth the investment!", "2020-01-20 12:00:00" 
"TRANS006","USER001","PROD014","4","I bought this Clip 3 Portable Speaker for outdoor use and it's been a great purchase. The sound quality is great and it's waterproof. I've been using it for a few weeks now and I have no complaints. Highly recommend!", "2020-01-25 14:00:00" 
"TRANS007","USER001","PROD010","4","I recently purchased this EOS Rebel Camera and I'm really impressed with the picture quality. The camera is easy to use and the design is sleek. I've been using it for a few weeks now and I have no complaints. Highly recommend!", "2020-02-01 10:00:00" 
"TRANS008","USER001","PROD016","5","I just got my Surface Pro 7 and I'm loving it! The performance is fast and the battery life is long-lasting. I've been using it for work and personal projects and it's been performing flawlessly. Definitely worth the investment!", "2020-02-05 12:00:00" 
"TRANS009","USER001","PROD018","4","I bought this Xperia 1 III Phone for personal use and it's been a great purchase. The camera is great and the battery life is long-lasting. I've been using it for a few weeks now and I have no complaints. Highly recommend!", "2020-02-10 14:00:00" 
"TRANS010","USER001","PROD020","4","I recently purchased this NanoCell 4K TV and I'm really impressed with the picture quality. The colors are vibrant and the sound is great. I've been using it for a few weeks now and I have no complaints. Highly recommend!", "2020-02-15 10:00:00" 
"TRANS011","USER001","PROD022","5","I just got my AirPods and I'm loving them! The sound quality is amazing and they're so comfortable to wear. I've been using them for music, podcasts, and phone calls and they've been performing flawlessly. Definitely worth the investment!", "2020-02-20 12:00:00"
"TRANS012","USER001","PROD024","4","I bought this Envy x360 Laptop for work and it's been a great purchase. The battery life is long-lasting and the performance is fast. I've been using it for a few weeks now and I have no complaints. Highly recommend!", "2020-02-25 14:00:00" 
"TRANS013","USER001","PROD026","4","I recently purchased this EOS M50 Camera and I'm really impressed with the picture quality. The camera is easy to use and the design is sleek. I've been using it for a few weeks now and I have no complaints. Highly recommend!", "2020-03-01 10:00:00" 
"TRANS 014","USER001","PROD028","5","I just got my Surface Laptop 3 and I'm loving it! The performance is fast and the battery life is long-lasting. I've been using it for work and personal projects and it's been performing flawlessly. Definitely worth the investment!", "2020-03-05 12:00:00" 
"TRANS015","USER001","PROD030","4","I bought this Xperia 1 II Phone for personal use and it's been a great purchase. The camera is great and the battery life is long-lasting. I've been using it for a few weeks now and I have no complaints. Highly recommend!", "2020-03-10 14:00:00" 
"TRANS016","USER001","PROD001","4","I recently purchased this 4K UHD Smart TV and I'm really impressed with the picture quality. The colors are vibrant and the sound is great. I've been using it for a few weeks now and I have no complaints. Highly recommend!", "2020-03-15 10:00:00" 
"TRANS017","USER001","PROD006","5","I just got my AirPods Pro and I'm loving them! The sound quality is amazing and they're so comfortable to wear. I've been using them for music, podcasts, and phone calls and they've been performing flawlessly. Definitely worth the investment!", "2020-03-20 12:00:00" 
"TRANS018","USER001","PROD012","4","I bought this VivoBook Laptop for work and it's been a great purchase. The battery life is long-lasting and the performance is fast. I've been using it for a few weeks now and I have no complaints. Highly recommend!", "2020-03-25 14:00:00"
"TRANS019","USER001","PROD002","4","I recently purchased this Wireless Soundbar and I'm really impressed with the sound quality. It's easy to set up and the design is sleek. I've been using it for a few weeks now and I have no complaints. Highly recommend!", "2020-04-01 10:00:00" 
"TRANS020","USER001","PROD008","5","I just got my Envy x360 Laptop and I'm loving it! The performance is fast and the battery life is long-lasting. I've been using it for work and personal projects and it's been performing flawlessly. Definitely worth the investment!", "2020-04-05 12:00:00" 
"TRANS021","USER001","PROD014","4","I bought this Clip 3 Portable Speaker for outdoor use and it's been a great purchase. The sound quality is great and it's waterproof. I've been using it for a few weeks now and I have no complaints. Highly recommend!", "2020-04-10 14:00:00" 
"TRANS022","USER001","PROD010","4","I recently purchased this EOS Rebel Camera and I'm really impressed with the picture quality. The camera is easy to use and the design is sleek. I've been using it for a few weeks now and I have no complaints. Highly recommend!", "2020-04-15 10:00:00" 
"TRANS023","USER001","PROD016","5","I just got my Surface Pro 7 and I'm loving it! The performance is fast and the battery life is long-lasting. I've been using it for work and personal projects and it's been performing flawlessly. Definitely worth the investment!", "2020-04-20 12:00:00" 
"TRANS024","USER001","PROD018","4","I bought this Xperia 1 III Phone for personal use and it's been a great purchase. The camera is great and the battery life is long-lasting. I've been using it for a few weeks now and I have no complaints. Highly recommend!", "2020-04-25 14:00:00" 
"TRANS025","USER001","PROD020","4","I recently purchased this NanoCell 4K TV and I'm really impressed with the picture quality. The colors are vibrant and the sound is great. I've been using it for a few weeks now and I have no complaints. Highly recommend!", "2020-05-01 10:00:00" 
"TRANS026","USER001","PROD022","5","I just got my AirPods and I'm loving them! The sound quality is amazing and they're so comfortable to wear. I've been using them for music, podcasts, and phone calls and they've been performing flawlessly. Definitely worth the investment!", "2020-05-05 12:00:00"
"TRANS027","USER001","PROD024","4","I bought this Envy x360 Laptop for work and it's been a great purchase. The battery life is long-lasting and the performance is fast. I've been using it for a few weeks now and I have no complaints. Highly recommend!", "2020-05-10 14:00:00" 
"TRANS028","USER001","PROD026","4","I recently purchased this EOS M50 Camera and I'm really impressed with the picture quality. The camera is easy to use and the design is sleek. I've been using it for a few weeks now and I have no complaints. Highly recommend!", "2020-05-15 10:00:00" 
"TRANS029","USER001","PROD028","5","I just got my Surface Laptop 3 and I'm loving it! The performance is fast and the battery life is long-lasting. I've been using it for work and personal projects and it's been performing flawlessly. Definitely worth the investment!", "2020-05-20 12:00:00" 
"TRANS030","USER001","PROD030","4","I bought this Xperia 1 II Phone for personal use and it's been a great purchase. The camera is great and the battery life is long-lasting. I've been using it for a few weeks now and I have no complaints. Highly recommend!", "2020-05-25 14:00:00" 
"TRANS031","USER001","PROD001","4","I recently purchased this 4K UHD Smart TV and I'm really impressed with the picture quality. The colors are vibrant and the sound is great. I've been using it for a few weeks now and I have no complaints. Highly recommend!", "2020-06-01 10:00:00" 
"TRANS032","USER001","PROD006","5","I just got my AirPods Pro and I'm loving them! The sound quality is amazing and they're so comfortable to wear. I've been using them for music, podcasts, and phone calls and they've been performing flawlessly. Definitely worth the investment!", "2020-06-05 12:00:00"
"TRANS033","USER001","PROD012","4","I bought this VivoBook Laptop for work and it's been a great purchase. The battery life is long-lasting and the performance is fast. I've been using it for a few weeks now and I have no complaints. Highly recommend!", "2020-06-10 14:00:00" 
"TRANS034","USER001","PROD002","4","I recently purchased this Wireless Soundbar and I'm really impressed with the sound quality. It's easy to set up and the design is sleek. I've been using it for a few weeks now and I have no complaints. Highly recommend!", "2020-06-15 10:00:00" 
"TRANS035","USER001","PROD008","5","I just got my Envy x360 Laptop and I'm loving it! The performance is fast and the battery life is long-lasting. I've been using it for work and personal projects and it's been performing flawlessly. Definitely worth the investment!", "2020-06-20 12:00:00" 
"TRANS036","USER001","PROD014","4","I bought this Clip 3 Portable Speaker for outdoor use and it's been a great purchase. The sound quality is great and it's waterproof. I've been using it for a few weeks now and I have no complaints. Highly recommend!", "2020-06-25 14:00:00" 
"TRANS037","USER001","PROD010","4","I recently purchased this EOS Rebel Camera and I'm really impressed with the picture quality. The camera is easy to use and the design is sleek. I've been using it for a few weeks now and I have no complaints. Highly recommend!", "2020-07-01 10:00:00" 
"TRANS038","USER001","PROD016","5","I just got my Surface Pro 7 and I'm loving it! The performance is fast and the battery life is long-lasting. I've been using it for work and personal projects and it's been performing flawlessly. Definitely worth the investment!", "2020-07-05 12:00:00" 
"TRANS039","USER001","PROD018","4","I bought this Xperia 1 III Phone for personal use and it's been a great purchase. The camera is great and the battery life is long-lasting. I've been using it for a few weeks now and I have no complaints. Highly recommend!", "2020-07-10 14:00:00" 
"TRANS040","USER001","PROD020","4","I recently purchased this NanoCell 4K TV and I'm really impressed with the picture quality. The colors are vibrant and the sound is great. I've been using it for a few weeks now and I have no complaints. Highly recommend!", "2020 -07-15 10:00:00" 
"TRANS041","USER001","PROD022","5","I just got my AirPods and I'm loving them! The sound quality is amazing and they're so comfortable to wear. I've been using them for music, podcasts, and phone calls and they've been performing flawlessly. Definitely worth the investment!", "2020-07-20 12:00:00"
"TRANS042","USER001","PROD024","4","I bought this Envy x360 Laptop for work and it's been a great purchase. The battery life is long-lasting and the performance is fast. I've been using it for a few weeks now and I have no complaints. Highly recommend!", "2020-07-25 14:00:00"
"TRANS043","USER001","PROD026","4","I recently purchased this EOS M50 Camera and I'm really impressed with the picture quality. The camera is easy to use and the design is sleek. I've been using it for a few weeks now and I have no complaints. Highly recommend!", "2020-08-01 10:00:00" 
"TRANS044","USER001","PROD028","5","I just got my Surface Laptop 3 and I'm loving it! The performance is fast and the battery life is long-lasting. I've been using it for work and personal projects and it's been performing flawlessly. Definitely worth the investment!", "2020-08-05 12:00:00" 
"TRANS045","USER001","PROD030","4","I bought this Xperia 1 II Phone for personal use and it's been a great purchase. The camera is great and the battery life is long-lasting. I've been using it for a few weeks now and I have no complaints. Highly recommend!", "2020-08-10 14:00:00" 
"TRANS046","USER001","PROD001","4","I recently purchased this 4K UHD Smart TV and I'm really impressed with the picture quality. The colors are vibrant and the sound is great. I've been using it for a few weeks now and I have no complaints. Highly recommend!", "2020-08-15 10:00:00" 
"TRANS047","USER001","PROD006","5","I just got my AirPods Pro and I'm loving them! The sound quality is amazing and they're so comfortable to wear. I've been using them for music, podcasts, and phone calls and they've been performing flawlessly. Definitely worth the investment!", "2020-08-20 12:00:00"
"TRANS048","USER001","PROD012","4","I bought this VivoBook Laptop for work and it's been a great purchase. The battery life is long-lasting and the performance is fast. I've been using it for a few weeks now and I have no complaints. Highly recommend!", "2020-08-25 14:00:00" 
"TRANS049","USER001","PROD002","4","I recently purchased this Wireless Soundbar and I'm really impressed with the sound quality. It's easy to set up and the design is sleek. I've been using it for a few weeks now and I have no complaints. Highly recommend!", "2020-09-01 10:00:00" 
"TRANS050","USER001","PROD008","5","I just got my Envy x360 Laptop and I'm loving it! The performance is fast and the battery life is long-lasting. I've been using it for work and personal projects and it's been performing flawlessly. Definitely worth the investment!", "2020-09-05 12:00:00" 
