Uniqe Id,Product Name,Brand Name,Asin,Category,Upc Ean Code,List Price,Selling Price,Quantity,Model Number,About Product,Product Specification,Technical Details,Shipping Weight,Product Dimensions,Image,Variants,Sku,Product Url,Stock,Product Details,Dimensions,Color,Ingredients,Direction To Use,Is Amazon Seller,Size Quantity Variant,Product Description
PRD001,Smart TV,Samsung,B076MX9VGX,Electronics,12345678901,1000,850,5,UN50MU6300,4K UHD Smart TV,4K UHD| Smart TV| Wi-Fi,,40 lbs,49 x 28 x 10 inches,https://example.com/tv.jpg,Yes,TV001,https://example.com/tv,In Stock,4K UHD| Smart TV| Wi-Fi,49 x 28 x 10 inches,Black,,,Yes,Large,This is a 4K UHD Smart TV
PRD002,Laptop,Dell,B076MX9VGX,Electronics,12345678902,800,700,3,Inspiron 15 5000,Laptop with Intel Core i5,Intel Core i5| 8GB RAM| 1TB HDD,,5 lbs,15 x 10 x 1 inches,https://example.com/laptop.jpg,Yes,LAP002,https://example.com/laptop,In Stock,Intel Core i5| 8GB RAM| 1TB HDD,15 x 10 x 1 inches,Silver,,,Yes,Medium,This is a laptop with Intel Core i5
PRD003,Headphones,Sony,B076MX9VGX,Electronics,12345678903,50,40,10,MDR-XB90EX,Extra Bass Headphones,Extra Bass| Wireless,,1 lbs,7 x 5 x 3 inches,https://example.com/headphones.jpg,Yes,HP003,https://example.com/headphones,In Stock,Extra Bass| Wireless,7 x 5 x 3 inches,Black,,,Yes,Small,These are extra bass headphones
PRD004,Smartphone,Apple,B076MX9VGX,Electronics,12345678904,500,450,5,iPhone 12,Smartphone with iOS,iOS| 12MP Camera| 4GB RAM,,6 oz,6 x 3 x 0.5 inches,https://example.com/phone.jpg,Yes,PH004,https://example.com/phone,In Stock,iOS| 12MP Camera| 4GB RAM,6 x 3 x 0.5 inches,Space Gray,,,Yes,Small,This is a smartphone with iOS
PRD005,Gaming Console,PlayStation,B076MX9VGX,Electronics,12345678905,300,250,5,PS5,Gaming Console with 1TB HDD,1TB HDD| 8GB RAM| 4K Gaming,,10 lbs,15 x 10 x 3 inches,https://example.com/ps5.jpg,Yes,GC005,https://example.com/ps5,In Stock,1TB HDD| 8GB RAM| 4K Gaming,15 x 10 x 3 inches,Black,,,Yes,Large,This is a gaming console with 1TB HDD
PRD006,Fitness Tracker,Fitbit,B076MX9VGX,Electronics,12345678906,100,80,10,Fitbit Charge 3,Fitness Tracker with Heart Rate,Heart Rate| GPS| Water Resistant,,2 oz,7 x 1 x 0.5 inches,https://example.com/fitbit.jpg,Yes,FT006,https://example.com/fitbit,In Stock,Heart Rate| GPS| Water Resistant,7 x 1 x 0.5 inches,Black,,,Yes,Small,This is a fitness tracker with heart rate
PRD007,Soundbar,Bose,B076MX9VGX,Electronics,12345678907,200,180,5,SoundLink Revolve,Soundbar with Bluetooth,Bluetooth| 360-degree Sound,,5 lbs,15 x 5 x 3 inches,https://example.com/soundbar.jpg,Yes,SB007,https://example.com/soundbar,In Stock,Bluetooth| 360-degree Sound,15 x 5 x 3 inches,Black,,,Yes,Medium,This is a soundbar with Bluetooth
PRD008,Gaming Mouse,Razer,B076MX9VGX,Electronics,12345678908,50,40,10,DeathAdder Elite,Gaming Mouse with 16|000 CPI,16|000 CPI| Ergonomic Design,,1 lbs,5 x 3 x 2 inches,https://example.com/mouse.jpg,Yes,GM008,https://example.com/mouse,In Stock,16|000 CPI| Ergonomic Design,5 x 3 x 2 inches,Black,,,Yes,Small,This is a gaming mouse with 16|000 CPI
PRD009,Smart Speaker,Amazon,B076MX9VGX,Electronics,12345678909,100,80,10,Echo Dot,Smart Speaker with Alexa,Alexa| Wi-Fi| Bluetooth,,1 lbs,4 x 4 x 2 inches,https://example.com/echo.jpg,Yes,SS009,https://example.com/echo,In Stock,Alexa| Wi-Fi| Bluetooth,4 x 4 x 2 inches,White,,,Yes,Small,This is a smart speaker with Alexa
PRD010,Laptop Bag,Targus,B076MX9VGX,Electronics,12345678910,50,40,10,CityGear 15.6,Laptop Bag with Padded Sleeve,Padded Sleeve| Water Resistant,,2 lbs,15 x 10 x 3 inches,https://example.com/laptopbag.jpg,Yes,LB010,https://example.com/laptopbag,In Stock,Padded Sleeve| Water Resistant,15 x 10 x 3 inches,Black,,,Yes,Medium,This is a laptop bag with padded sleeve
PRD011,Smartwatch,Fossil,B076MX9VGX,Electronics,12345678911,200,180,5,Gen 5,Smartwatch with Heart Rate,Heart Rate| GPS| Water Resistant,,2 oz,7 x 1 x 0.5 inches,https://example.com/smartwatch.jpg, Yes,SW011,https://example.com/smartwatch,In Stock,Heart Rate| GPS| Water Resistant,7 x 1 x 0.5 inches,Silver,,,Yes,Small,This is a smartwatch with heart rate
PRD012,Wireless Earbuds,Sony,B076MX9VGX,Electronics,12345678912,100,80,10,WF-1000XM4,Wireless Earbuds with Noise Cancellation,Noise Cancellation| Water Resistant,,1 oz,2 x 1 x 0.5 inches,https://example.com/earbuds.jpg,Yes,WE012,https://example.com/earbuds,In Stock,Noise Cancellation| Water Resistant,2 x 1 x 0.5 inches,Black,,,Yes,Small,These are wireless earbuds with noise cancellation
