"Product ID","SKU","Product Category","Brand","Dimension","Color","Price","Product Description"
"PROD001","ELEC001","Electronic","Samsung","10 x 5 x 2 inches","Black","$150.00","4K UHD Smart TV"
"PROD002","ELEC002","Electronic","Sony","12 x 8 x 3 inches","Silver","$200.00","Wireless Soundbar"
"PROD003","OFF001","Office Tools","Pilot","5 x 1 x 1 inches","Blue","$5.00","Gel Ink Pen"
"PROD004","ELEC003","Electronic","LG","15 x 10 x 4 inches","White","$300.00","OLED 4K TV"
"PROD005","OFF002","Office Tools","Staedtler","6 x 2 x 1 inches","Yellow","$3.00","Triplus Fineliner Pen"
"PROD006","ELEC004","Electronic","Apple","4 x 2 x 1 inches","Space Gray","$100.00","AirPods Pro"
"PROD007","OFF003","Office Tools","Faber-Castell","7 x 3 x 1 inches","Green","$4.00","Pitt Artist Pen"
"PROD008","ELEC005","Electronic","HP","18 x 12 x 5 inches","Black","$500.00","Envy x360 Laptop"
"PROD009","OFF004","Office Tools","Pentel","5 x 1 x 1 inches","Red","$2.00","EnerGel Pen"
"PROD010","ELEC006","Electronic","Canon","10 x 6 x 3 inches","Silver","$250.00","EOS Rebel Camera"
"PROD011","OFF005","Office Tools","Uni-ball","6 x 2 x 1 inches","Blue","$3.50","Signo UM-151 Pen"
"PROD012","ELEC007","Electronic","Asus","15 x 10 x 4 inches","Black","$350.00","VivoBook Laptop"
"PROD013","OFF006","Office Tools","Staples","8 x 4 x 2 inches","White","$10.00","Bamboo Pencil Case"
"PROD014","ELEC008","Electronic","JBL","6 x 4 x 2 inches","Black","$50.00","Clip 3 Portable Speaker"
"PROD015","OFF007","Office Tools","3M","5 x 2 x 1 inches","Yellow","$5.50","Post-it Notes"
"PROD016","ELEC009","Electronic","Microsoft","12 x 8 x 3 inches","Silver","$400.00","Surface Pro 7"
"PROD017","OFF008","Office Tools","Pilot","7 x 3 x 1 inches","Red","$4.50","G-Tec-C4 Pen"
"PROD018","ELEC010","Electronic","Sony","10 x 6 x 3 inches","Black","$300.00","Xperia 1 III Phone"
"PROD019","OFF009","Office Tools","Faber-Castell","6 x 2 x 1 inches","Green","$3.50","9000 Graph Pencil"
"PROD020","ELEC011","Electronic","LG","18 x 12 x 5 inches","White","$600.00","NanoCell 4K TV"
"PROD021","OFF010","Office Tools","Staedtler","5 x 1 x 1 inches","Blue","$2.50","Triplus Ballpoint Pen"
"PROD022","ELEC012","Electronic","Apple","4 x 2 x 1 inches","Gold","$150.00","AirPods"
"PROD023","OFF011","Office Tools","Pentel","7 x 3 x 1 inches","Red","$4.00","EnerGel Deluxe Pen"
"PROD024","ELEC013","Electronic","HP","15 x 10 x 4 inches","Black","$450.00","Envy x360 Laptop"
"PROD025","OFF012","Office Tools","Uni-ball","6 x 2 x 1 inches","Blue","$3.00","Signo UM-151 Pen"
"PROD026","ELEC014","Electronic","Canon","12 x 8 x 3 inches","Silver","$350.00","EOS M50 Camera"
"PROD027","OFF013","Office Tools","Staples","8 x 4 x 2 inches","White","$12.00","Wooden Pencil Case"
"PROD028","ELEC015","Electronic","As us","18 x 12 x 5 inches","Black","$550.00","ZenBook Laptop"
"PROD029","OFF014","Office Tools","Pilot","7 x 3 x 1 inches","Red","$4.50","G-Tec-C4 Pen"
"PROD030","ELEC016","Electronic","Sony","10 x 6 x 3 inches","Black","$350.00","Xperia 1 IV Phone"
